Date,Transaction Description,Category,Amount,Type
2025-03-14,Upon very act perform.,Shopping,1929.08,Expense
2025-03-15,Available defense.,Entertainment,1428.77,Expense
2025-03-18,Value thing these.,Health & Fitness,881.82,Expense
2025-03-21,Citizen street region.,Rent,503.33,Expense
2025-03-23,Property never.,Investment,2385.0,Income
2025-03-23,Enough threat score.,Food & Drink,151.28,Expense
2025-03-24,Example decision garden.,Entertainment,144.13,Expense
2025-03-28,Major town suffer begin.,Other,1080.0,Income
2025-04-01,Analysis four capital.,Travel,1341.27,Expense
2025-04-05,Scientist necessary into.,Utilities,1449.47,Expense
2025-04-06,Away third.,Salary,493.56,Expense
2025-04-06,Along hard need involve among.,Shopping,388.92,Expense
2025-04-10,Together decide.,Other,3402.0,Income
2025-04-17,Government nice.,Salary,1729.04,Expense
2025-04-17,See understand door class son.,Investment,996.0,Income
2025-04-18,Agent say forward us.,Health & Fitness,1603.18,Expense
2025-04-22,City red him.,Investment,2058.0,Income
2025-04-23,Develop staff least figure.,Utilities,849.54,Expense
2025-04-25,Age cover foreign.,Entertainment,1750.23,Expense
2025-04-26,Go meeting quickly.,Investment,914.0,Income
2025-04-26,Voice boy wife condition.,Food & Drink,1938.3,Expense
2025-04-27,Board its.,Entertainment,340.96,Expense
2025-04-27,Paper memory history office.,Entertainment,1730.65,Expense
2025-04-29,Remember ability.,Utilities,764.16,Expense
2025-04-30,Hair attorney professional.,Travel,1853.77,Expense
2025-05-01,Finish summer rest feel finally.,Travel,851.78,Expense
2025-05-03,I fast camera inside.,Salary,318.05,Expense
2025-05-03,Past feeling nature.,Food & Drink,1162.57,Expense
2025-05-05,Expert involve oil.,Health & Fitness,123.76,Expense
2025-05-06,Kid put memory soldier.,Utilities,123.19,Expense
2025-05-06,Exist professional.,Utilities,146.36,Expense
2025-05-07,Stand seem.,Investment,3807.0,Income
2025-05-11,Southern challenge animal.,Investment,825.0,Income
2025-05-12,Sure authority increase picture create.,Shopping,1318.17,Expense
2025-05-13,Hundred challenge reach throughout.,Health & Fitness,1870.07,Expense
2025-05-14,Despite sound receive let.,Health & Fitness,484.99,Expense
2025-05-15,True building card.,Travel,919.88,Expense
2025-05-16,Write other wear through partner.,Rent,28.54,Expense
2025-05-17,Store natural today season.,Rent,155.79,Expense
2025-05-19,Else easy point she.,Travel,273.59,Expense
2025-05-20,Phone ever back experience.,Rent,1759.75,Expense
2025-05-21,Floor music catch discuss.,Utilities,881.99,Expense
2025-05-25,Ask imagine my.,Travel,1227.24,Expense
2025-05-27,Deal information.,Food & Drink,1339.05,Expense
2025-05-28,Task she.,Rent,1878.47,Expense
2025-05-29,Accept goal send table.,Investment,1376.0,Income
2025-05-30,Section national owner determine detail.,Utilities,551.97,Expense
2025-05-31,Ahead from quickly identify.,Health & Fitness,415.16,Expense
2025-05-31,Try wonder move trade.,Travel,1015.76,Expense
2025-06-01,Base investment.,Food & Drink,193.67,Expense
2025-06-02,Anyone here deep.,Travel,97.73,Expense
2025-06-05,Seven here sell story.,Utilities,1277.86,Expense
2025-06-06,Like see.,Salary,1107.84,Expense
2025-06-07,Difference attention whatever american.,Food & Drink,232.63,Expense
2025-06-08,Current after charge.,Utilities,1095.72,Expense
2025-06-09,Prove nor design record.,Utilities,865.28,Expense
2025-06-09,Paper white responsibility.,Other,826.0,Income
2025-06-10,Blue agent find.,Entertainment,1367.31,Expense
2025-06-10,Walk cup option store.,Health & Fitness,1562.43,Expense
2025-06-11,Recent feeling.,Shopping,1947.94,Expense
2025-06-11,Site girl into have media.,Entertainment,1730.57,Expense
2025-06-12,Support state.,Utilities,1764.02,Expense
2025-06-14,Whether player stock religious.,Other,3872.0,Income
2025-06-15,Safe whole establish.,Entertainment,540.94,Expense
2025-06-18,Let stay or focus.,Rent,771.26,Expense
2025-06-18,Everything late.,Other,2322.0,Income
2025-06-18,Particular her agreement surface consider.,Other,3364.0,Income
2025-06-19,Something future they red.,Entertainment,453.62,Expense
2025-06-19,Act way beat result major.,Shopping,663.24,Expense
2025-06-21,Position make society behavior.,Travel,708.78,Expense
2025-06-21,Reality fill ok list.,Health & Fitness,1879.08,Expense
2025-06-22,International second former reflect.,Other,1962.0,Income
2025-06-22,Edge building court.,Travel,86.13,Expense
2025-06-24,Week real course school everybody.,Health & Fitness,1459.8,Expense
2025-06-30,Executive beyond create dinner conference.,Rent,776.54,Expense
2025-06-30,Call animal approach factor want.,Travel,98.33,Expense
2025-07-02,Their off.,Entertainment,734.8,Expense
2025-07-03,Key continue anything wait.,Other,3071.0,Income
2025-07-04,State husband.,Rent,1442.31,Expense
2025-07-05,Picture approach chance none fight.,Travel,1337.12,Expense
2025-07-06,Newspaper indicate other.,Travel,1113.28,Expense
2025-07-06,Herself training father open investment.,Other,1925.0,Income
2025-07-08,Art whether between several personal.,Travel,818.09,Expense
2025-07-11,Church community.,Travel,580.96,Expense
2025-07-12,Able late order.,Health & Fitness,935.33,Expense
2025-07-12,Discuss religious.,Entertainment,1027.24,Expense
2025-07-13,Reach under.,Utilities,1321.11,Expense
2025-07-17,Boy different chance enter.,Health & Fitness,195.84,Expense
2025-07-20,Arrive society.,Entertainment,1348.86,Expense
2025-07-21,Keep light fight.,Entertainment,303.23,Expense
2025-07-21,Matter management ball.,Other,1096.0,Income
2025-07-22,Same page ago director.,Entertainment,1439.51,Expense
2025-07-22,Week yourself public especially american.,Shopping,495.53,Expense
2025-07-22,Million kind everything young.,Food & Drink,1786.39,Expense
2025-07-23,Why like impact fly.,Rent,1559.06,Expense
2025-07-24,Form really explain.,Salary,109.93,Expense
2025-07-28,Already because education break significant.,Rent,918.36,Expense
2025-07-28,Price my.,Health & Fitness,1900.58,Expense
2025-07-29,Could gun.,Shopping,1662.83,Expense
2025-07-30,Kind appear environment capital explain.,Utilities,1489.87,Expense
2025-07-31,Ahead picture son.,Travel,1506.04,Expense
2025-08-01,Nearly need behavior.,Travel,1533.97,Expense
2025-08-01,Water positive child usually.,Entertainment,556.45,Expense
2025-08-01,Relate indeed lot line lead.,Other,2420.0,Income
2025-08-02,Course out second carry.,Health & Fitness,1787.12,Expense
2025-08-03,Significant take future.,Investment,2394.0,Income
2025-08-04,Star executive fear.,Utilities,1415.77,Expense
2025-08-04,Your majority chance mrs generation.,Other,3210.0,Income
2025-08-04,Help usually thank wonder draw.,Shopping,133.91,Expense
2025-08-05,Task improve fish.,Shopping,1810.63,Expense
2025-08-05,History professional star wonder.,Food & Drink,1714.9,Expense
2025-08-06,Call whole.,Shopping,959.19,Expense
2025-08-08,Them key.,Travel,1509.42,Expense
2025-08-08,Address century that wide.,Shopping,1081.06,Expense
2025-08-09,Sit enter perhaps however.,Entertainment,981.58,Expense
2025-08-13,System teacher here first.,Salary,67.76,Expense
2025-08-14,Along attention piece tv young.,Shopping,1451.12,Expense
2025-08-16,Within set region beyond.,Utilities,1961.64,Expense
2025-08-17,Tough animal someone.,Shopping,1187.87,Expense
2025-08-18,Hear certainly most not.,Rent,1289.07,Expense
2025-08-19,Company participant him.,Other,1988.0,Income
2025-08-20,Tree central leave effect.,Other,3181.0,Income
2025-08-21,Together let.,Health & Fitness,681.63,Expense
2025-08-21,Citizen kid generation onto police.,Travel,1506.5,Expense
2025-08-22,Lead few yourself.,Travel,1671.47,Expense
2025-08-22,Down occur.,Food & Drink,1999.82,Expense
2025-08-26,Yeah far within.,Rent,1564.65,Expense
2025-08-27,Account ten sing.,Food & Drink,1899.73,Expense
2025-08-27,Seat strategy total simply discover.,Investment,1748.0,Income
2025-08-29,Pm per question.,Salary,1342.22,Expense
2025-08-30,Best physical always small almost.,Entertainment,935.42,Expense
2025-08-31,Bed far section.,Health & Fitness,343.9,Expense
2025-09-01,Car much will.,Rent,1557.81,Expense
2025-09-05,Tree store either station.,Other,1385.0,Income
2025-09-05,Second full boy.,Travel,1155.84,Expense
2025-09-06,Senior difficult put.,Shopping,799.34,Expense
2025-09-07,Hand so add mr lawyer.,Rent,1188.27,Expense
2025-09-08,Herself police he push likely.,Entertainment,212.78,Expense
2025-09-11,Trip determine as statement.,Rent,1594.49,Expense
2025-09-11,Bring animal also you.,Food & Drink,700.94,Expense
2025-09-11,Doctor mr.,Health & Fitness,147.22,Expense
2025-09-16,He we recent music.,Food & Drink,1700.66,Expense
2025-09-17,Those pressure street.,Rent,872.71,Expense
2025-09-17,Allow have kitchen.,Salary,1417.54,Expense
2025-09-18,Between rate name within.,Travel,1235.67,Expense
2025-09-18,Huge couple.,Salary,935.1,Expense
2025-09-22,Begin deep police wife.,Travel,651.39,Expense
2025-09-22,During call north attention.,Rent,565.07,Expense
2025-09-22,Only spend do.,Salary,1144.0,Expense
2025-09-23,Able teach certain candidate economy.,Health & Fitness,67.11,Expense
2025-09-23,Produce ago.,Utilities,980.22,Expense
2025-09-25,So draw food company.,Travel,687.27,Expense
2025-09-27,Score moment second.,Travel,1116.02,Expense
2025-09-27,Sing message board mean.,Entertainment,180.37,Expense
2025-09-27,Feeling poor all your suggest.,Salary,1114.8,Expense
2025-09-29,Make travel.,Salary,1295.35,Expense
2025-09-30,Focus chance.,Food & Drink,195.18,Expense
2025-10-01,Person one republican.,Entertainment,619.35,Expense
2025-10-03,Most law painting between reduce.,Salary,1111.41,Expense
2025-10-04,Involve thousand including.,Health & Fitness,710.1,Expense
2025-10-07,Indeed believe interview professor.,Travel,510.29,Expense
2025-10-07,Rather listen before.,Investment,3084.0,Income
2025-10-07,It season.,Investment,2069.0,Income
2025-10-08,News only no.,Salary,560.23,Expense
2025-10-08,Improve them wait.,Travel,1961.22,Expense
2025-10-10,Why outside.,Travel,462.69,Expense
2025-10-10,Official defense.,Investment,4875.0,Income
2025-10-10,Suggest glass news.,Investment,946.0,Income
2025-10-12,Off southern suddenly.,Utilities,1279.36,Expense
2025-10-14,Participant price.,Rent,1746.71,Expense
2025-10-15,Congress reflect.,Salary,962.64,Expense
2025-10-16,Go consider century price.,Food & Drink,512.43,Expense
2025-10-16,Scientist will begin.,Rent,1646.01,Expense
2025-10-16,Heavy law church.,Rent,1158.27,Expense
2025-10-18,Since nothing be apply.,Utilities,306.9,Expense
2025-10-19,Anyone bank kitchen interest parent.,Travel,179.51,Expense
2025-10-23,Democratic mention generation.,Shopping,1216.57,Expense
2025-10-24,Question or money.,Entertainment,1553.63,Expense
2025-10-26,Determine worker.,Salary,601.73,Expense
2025-10-27,Daughter war.,Shopping,617.71,Expense
2025-10-27,Face build market.,Rent,1895.7,Expense
2025-10-27,Can mouth discover.,Entertainment,536.65,Expense
2025-10-28,Author technology amount affect.,Investment,1923.0,Income
2025-10-29,Office of remember individual.,Utilities,15.32,Expense
2025-10-30,Again foot soon peace.,Salary,589.61,Expense
2025-10-31,Join black.,Travel,1408.95,Expense
2025-11-01,Hundred bad that second develop.,Entertainment,1848.58,Expense
2025-11-01,Member box.,Entertainment,856.03,Expense
2025-11-02,Town glass road.,Utilities,1817.74,Expense
2025-11-04,Bill eight community.,Rent,128.68,Expense
2025-11-06,Concern significant.,Travel,883.92,Expense
2025-11-07,Senior service large under.,Travel,1402.47,Expense
2025-11-09,Follow wife firm key light.,Salary,881.14,Expense
2025-11-10,Option goal avoid.,Shopping,1471.72,Expense
2025-11-10,Also hard expert popular.,Food & Drink,191.74,Expense
2025-11-12,Order his oil west school.,Food & Drink,1999.15,Expense
2025-11-12,Training occur could painting.,Travel,1156.73,Expense
2025-11-14,Whatever late specific.,Utilities,946.3,Expense
2025-11-14,Mean common.,Travel,371.16,Expense
2025-11-14,Yard model particular hair.,Salary,1938.42,Expense
2025-11-14,Impact full our smile.,Shopping,673.28,Expense
2025-11-15,Form newspaper.,Utilities,666.31,Expense
2025-11-15,Edge surface who.,Travel,1328.54,Expense
2025-11-16,Bank professional true financial.,Food & Drink,915.1,Expense
2025-11-16,Organization visit finally.,Health & Fitness,240.68,Expense
2025-11-17,Spend prove stock school.,Food & Drink,1318.74,Expense
2025-11-20,Position interest.,Shopping,117.87,Expense
2025-11-22,Guy congress.,Salary,1254.56,Expense
2025-11-23,Way main difficult case.,Entertainment,541.44,Expense
2025-11-25,Such big side.,Other,4089.0,Income
2025-11-25,Product then.,Salary,251.64,Expense
2025-11-26,Heavy class story side speak.,Entertainment,1422.47,Expense
2025-11-27,Analysis hair rest wide.,Food & Drink,1108.98,Expense
2025-11-27,Doctor dream whole six.,Investment,4280.0,Income
2025-11-29,Question now key show.,Utilities,1001.77,Expense
2025-12-01,Month whom stage soon.,Travel,836.83,Expense
2025-12-05,Appear lose he.,Salary,495.02,Expense
2025-12-05,Surface expect several evening town.,Shopping,389.31,Expense
2025-12-06,Begin treat stage this.,Utilities,1729.41,Expense
2025-12-10,Apply maybe dog yes.,Shopping,686.35,Expense
2025-12-10,Agreement us stuff.,Travel,1642.89,Expense
2025-12-11,Case expert stop.,Travel,1676.58,Expense
2025-12-12,Large accept bad eight.,Salary,1731.87,Expense
2025-12-13,Vote participant institution simply down.,Salary,696.8,Expense
2025-12-14,Draw police.,Shopping,916.14,Expense
2025-12-14,Book toward.,Entertainment,1961.74,Expense
2025-12-16,Place offer.,Shopping,474.79,Expense
2025-12-16,Investment pass drive.,Food & Drink,643.17,Expense
2025-12-16,Professor beat window.,Shopping,778.3,Expense
2025-12-18,Name skill medical after them.,Utilities,995.7,Expense
2025-12-18,Wonder effect administration small.,Other,1322.0,Income
2025-12-20,Run pick sign.,Salary,208.43,Expense
2025-12-20,And national spend.,Food & Drink,1447.66,Expense
2025-12-22,Wonder long consider care.,Utilities,158.91,Expense
2025-12-23,Fall analysis.,Travel,683.74,Expense
2025-12-23,Firm financial.,Rent,1705.01,Expense
2025-12-24,List already positive experience television.,Shopping,1908.74,Expense
2025-12-25,Event son join hundred.,Salary,1746.04,Expense
2025-12-26,Fund cost reality happen.,Investment,2423.0,Income
2025-12-28,Song risk bad.,Travel,1994.88,Expense
2025-12-30,Family bill foreign fast knowledge.,Shopping,1956.89,Expense
2025-12-31,Ready goal amount.,Rent,892.92,Expense
2026-01-01,Your ever woman way avoid.,Food & Drink,101.52,Expense
2026-01-06,Message seek civil all.,Travel,723.34,Expense
2026-01-06,Call door.,Entertainment,1067.02,Expense
2026-01-08,Him note painting quickly.,Utilities,348.27,Expense
2026-01-10,Know baby case happen.,Other,2472.0,Income
2026-01-10,Economic box save.,Utilities,472.06,Expense
2026-01-11,Hit no energy employee land.,Salary,518.1,Expense
2026-01-12,Customer career available common.,Other,2856.0,Income
2026-01-13,Specific whose.,Utilities,156.99,Expense
2026-01-13,Remember nearly face feel.,Travel,1281.49,Expense
2026-01-14,Soldier meeting building.,Travel,919.1,Expense
2026-01-14,Door management guess.,Shopping,1708.14,Expense
2026-01-15,Level work candidate this.,Other,3440.0,Income
2026-01-15,Huge response long.,Travel,53.66,Expense
2026-01-17,Statement available win politics.,Shopping,556.22,Expense
2026-01-17,Quite general there sister.,Food & Drink,1822.13,Expense
2026-01-19,Item treat area.,Travel,1553.72,Expense
2026-01-20,Check clearly follow remember generation.,Health & Fitness,445.82,Expense
2026-01-24,Suffer economy play.,Other,1620.0,Income
2026-01-26,By field move.,Food & Drink,624.78,Expense
2026-01-27,Option oil commercial.,Health & Fitness,1467.4,Expense
2026-01-27,American tell ball we side.,Other,3176.0,Income
2026-01-27,Short indicate police.,Utilities,409.58,Expense
2026-01-27,Nation politics few each southern.,Health & Fitness,1066.4,Expense
2026-01-29,Law read citizen.,Utilities,521.37,Expense
2026-02-02,Less future century technology.,Salary,1935.09,Expense
2026-02-05,Wish candidate have no.,Health & Fitness,1610.42,Expense
2026-02-05,Letter environment easy.,Rent,290.11,Expense
2026-02-08,Face his.,Shopping,1934.87,Expense
2026-02-08,While total spend.,Health & Fitness,189.7,Expense
2026-02-09,Couple city you level.,Travel,1077.78,Expense
2026-02-09,Age war measure whom.,Travel,1173.27,Expense
2026-02-11,Good anything manager think pressure.,Health & Fitness,225.61,Expense
2026-02-11,Mr suggest issue.,Food & Drink,1242.9,Expense
2026-02-13,Shake hand hundred now.,Health & Fitness,1831.36,Expense
2026-02-16,Network available mean share.,Rent,1274.45,Expense
2026-02-18,Quite budget window hour some.,Travel,1301.99,Expense
2026-02-19,Voice sense current meeting matter.,Investment,804.0,Income
2026-02-20,Case four.,Salary,241.08,Expense
2026-02-21,Lead paper middle foreign party.,Utilities,783.41,Expense
2026-02-23,Wrong school federal from.,Shopping,1178.81,Expense
2026-02-24,Majority none little admit former.,Shopping,1313.29,Expense
2026-02-27,On someone rise read.,Shopping,1878.72,Expense
2026-02-28,Listen whose situation simply officer.,Health & Fitness,442.37,Expense
2026-03-02,Lose modern return simple herself.,Entertainment,1712.35,Expense
2026-03-02,Occur red.,Other,4960.0,Income
2026-03-02,Kid industry.,Health & Fitness,130.49,Expense
2026-03-04,Improve simple turn.,Rent,1898.53,Expense
2026-03-05,Million night your.,Rent,1328.91,Expense
2026-03-05,Heavy what least mouth national.,Food & Drink,110.65,Expense
2026-03-07,Machine whatever everything fear walk.,Utilities,1576.09,Expense
2026-03-07,Relate real major.,Entertainment,1176.9,Expense
2026-03-08,Night various return explain.,Entertainment,663.83,Expense
2026-03-09,Here woman stand west source.,Investment,2771.0,Income
2026-03-09,Explain research.,Utilities,1975.18,Expense
2026-03-10,Pretty section degree still.,Utilities,228.75,Expense
2026-03-12,Receive case past only drug.,Utilities,39.57,Expense
2026-03-15,Point appear including.,Entertainment,1181.82,Expense
2026-03-15,Race case.,Other,929.0,Income
2026-03-16,Imagine various there.,Other,4809.0,Income
2026-03-16,Sense expert experience.,Investment,4401.0,Income
2026-03-17,Present discussion.,Health & Fitness,1031.34,Expense
2026-03-17,Individual study value.,Investment,855.0,Income
2026-03-18,Small control see the.,Travel,921.5,Expense
2026-03-19,Across nothing.,Food & Drink,1997.19,Expense
2026-03-20,Expect writer myself management.,Shopping,1375.33,Expense
2026-03-21,Life cover both class.,Salary,156.25,Expense
2026-03-22,Responsibility add front.,Investment,1038.0,Income
2026-03-22,Purpose cover particularly police if.,Other,3620.0,Income
2026-03-22,Foreign husband believe word local.,Travel,912.89,Expense
2026-03-23,End dog.,Rent,1588.26,Expense
2026-03-23,Few reveal activity president.,Investment,4023.0,Income
2026-03-24,Property let.,Entertainment,833.49,Expense
2026-03-25,Rather type thousand show.,Shopping,837.82,Expense
2026-03-26,Happen determine whatever.,Other,3060.0,Income
2026-03-27,Lawyer writer health.,Health & Fitness,1907.65,Expense
2026-03-28,Serious soon stay seven.,Salary,143.6,Expense
2026-03-29,Land region back nor article.,Rent,869.43,Expense
2026-03-30,Dark mr clearly take.,Health & Fitness,1625.42,Expense
2026-04-01,Quite response.,Health & Fitness,1343.33,Expense
2026-04-02,Together knowledge.,Shopping,1737.5,Expense
2026-04-03,Car indeed nor next.,Travel,1204.82,Expense
2026-04-03,How staff.,Entertainment,317.91,Expense
2026-04-03,Authority interest red must art.,Rent,706.73,Expense
2026-04-08,All important shoulder she.,Rent,1527.59,Expense
2026-04-08,Year him thank trade.,Shopping,1691.86,Expense
2026-04-09,Radio product.,Food & Drink,1221.9,Expense
2026-04-11,President girl condition.,Travel,67.62,Expense
2026-04-11,More road development about.,Travel,1843.86,Expense
2026-04-12,Leg rest interest.,Utilities,1741.03,Expense
2026-04-13,Easy get every.,Shopping,148.47,Expense
2026-04-18,Special information.,Food & Drink,192.6,Expense
2026-04-19,Deal beyond almost.,Shopping,845.47,Expense
2026-04-19,Scientist i doctor.,Health & Fitness,630.16,Expense
2026-04-19,Cell year.,Rent,1767.85,Expense
2026-04-19,Five our pull fly few.,Investment,1168.0,Income
2026-04-21,Determine feel article we they.,Shopping,976.47,Expense
2026-04-23,Quickly new another general poor.,Travel,438.98,Expense
2026-04-23,Five indicate chance heavy senior.,Health & Fitness,865.53,Expense
2026-04-24,Support feeling remain.,Salary,1058.6,Expense
2026-04-27,None whose.,Entertainment,796.57,Expense
2026-04-27,Care drug data position two.,Food & Drink,416.8,Expense
2026-04-27,Movie stop.,Utilities,1530.68,Expense
2026-04-30,Help painting always.,Rent,25.38,Expense
2026-05-02,Source onto provide.,Utilities,267.08,Expense
2026-05-04,Decade trade field training.,Entertainment,1005.52,Expense
2026-05-04,While bring yourself.,Health & Fitness,153.43,Expense
2026-05-06,Receive region however.,Food & Drink,878.08,Expense
2026-05-07,Focus executive letter possible final.,Rent,1725.6,Expense
2026-05-07,Third letter sort reveal seven.,Shopping,1421.9,Expense
2026-05-07,Have including none.,Rent,816.01,Expense
2026-05-10,Administration network once.,Utilities,1604.63,Expense
2026-05-11,Charge form here.,Health & Fitness,185.38,Expense
2026-05-11,Nearly want front shake.,Entertainment,877.0,Expense
2026-05-12,Leave run goal cause.,Rent,797.58,Expense
2026-05-14,Contain threat wrong whatever.,Health & Fitness,450.93,Expense
2026-05-14,Stuff avoid.,Rent,1025.86,Expense
2026-05-15,Include successful.,Investment,3362.0,Income
2026-05-17,Religious across.,Utilities,480.18,Expense
2026-05-19,Health pay project pattern.,Investment,1921.0,Income
2026-05-22,Administration mother in admit.,Rent,362.52,Expense
2026-05-23,Within admit spend purpose south.,Salary,933.27,Expense
2026-05-24,Truth modern.,Salary,1365.46,Expense
2026-05-24,People education great.,Health & Fitness,1729.85,Expense
2026-05-24,Health image.,Utilities,885.13,Expense
2026-05-25,Wrong difficult range.,Travel,1594.7,Expense
2026-05-25,Behavior here.,Health & Fitness,1019.6,Expense
2026-05-27,Argue act commercial matter.,Salary,84.84,Expense
2026-05-27,Not teach believe month.,Travel,162.69,Expense
2026-05-29,Deep test thought.,Rent,1233.87,Expense
2026-05-30,Another avoid understand.,Salary,1164.86,Expense
2026-05-31,Probably conference sure administration debate.,Food & Drink,904.97,Expense
2026-05-31,Up federal nor note.,Entertainment,649.84,Expense
2026-06-02,Forward sense cause write right.,Utilities,1915.87,Expense
2026-06-02,Approach join stuff future.,Health & Fitness,1964.95,Expense
2026-06-03,Ahead event yeah make.,Investment,820.0,Income
2026-06-06,Wait it quickly produce beat.,Salary,1982.06,Expense
2026-06-06,Require bank child.,Utilities,734.16,Expense
2026-06-06,First blood accept final.,Shopping,823.45,Expense
2026-06-09,Bill beautiful issue.,Food & Drink,1580.56,Expense
2026-06-11,Mention billion bed never others.,Rent,666.08,Expense
2026-06-11,Activity including single right.,Shopping,575.45,Expense
2026-06-14,Occur college herself.,Utilities,673.39,Expense
2026-06-15,Feeling manage as.,Utilities,1834.33,Expense
2026-06-16,Inside machine baby.,Shopping,266.61,Expense
2026-06-20,Result many pattern.,Rent,626.07,Expense
2026-06-20,Career according.,Health & Fitness,1628.24,Expense
2026-06-22,Success here television key.,Rent,1295.59,Expense
2026-06-23,Carry fly water cut fire.,Health & Fitness,46.28,Expense
2026-06-24,Fact reason make office.,Entertainment,690.05,Expense
2026-06-26,Heavy staff hotel box.,Entertainment,460.82,Expense
2026-06-27,Or nation race.,Investment,2923.0,Income
2026-06-28,Well left.,Rent,1020.3,Expense
2026-06-28,Something story attorney summer.,Food & Drink,1327.24,Expense
2026-06-28,Cause field education child.,Utilities,1198.52,Expense
2026-06-28,Available wrong look husband.,Investment,1856.0,Income
2026-06-29,Myself so growth time.,Food & Drink,827.61,Expense
2026-07-04,Point be shoulder price great.,Entertainment,1939.48,Expense
2026-07-04,Worker quality hundred sell whole.,Salary,475.67,Expense
2026-07-04,Action else.,Salary,1808.91,Expense
2026-07-06,Newspaper reach determine hear leg.,Other,4282.0,Income
2026-07-07,General agency bit.,Shopping,1010.78,Expense
2026-07-09,Break wait.,Utilities,1635.61,Expense
2026-07-09,Find lay deal lot.,Utilities,1747.27,Expense
2026-07-10,Just recent.,Other,3540.0,Income
2026-07-10,Feel special.,Rent,1425.69,Expense
2026-07-11,Support possible.,Rent,577.28,Expense
2026-07-11,Might necessary former.,Travel,904.15,Expense
2026-07-11,Discussion if continue policy.,Shopping,192.51,Expense
2026-07-12,Ahead pass culture or.,Salary,1770.41,Expense
2026-07-13,Relate day.,Shopping,115.98,Expense
2026-07-14,Big the cost for leader.,Entertainment,778.47,Expense
2026-07-15,Month police others particularly.,Investment,730.0,Income
2026-07-19,Girl suddenly.,Rent,1679.96,Expense
2026-07-19,Try opportunity public.,Utilities,283.82,Expense
2026-07-23,Draw bring health.,Salary,1395.18,Expense
2026-07-23,Home others offer institution main.,Other,4174.0,Income
2026-07-24,Never majority cell.,Rent,47.82,Expense
2026-07-28,People tend weight machine.,Utilities,1102.12,Expense
2026-07-29,White measure manager range.,Shopping,231.26,Expense
2026-08-02,Major bar air set.,Travel,252.48,Expense
2026-08-06,Ever mrs.,Salary,134.99,Expense
2026-08-07,Not significant manager member.,Salary,1197.51,Expense
2026-08-07,Environmental myself.,Investment,1676.0,Income
2026-08-08,State among rest national wrong.,Food & Drink,1233.47,Expense
2026-08-09,Fear yourself last.,Shopping,382.75,Expense
2026-08-11,Keep yes.,Health & Fitness,144.68,Expense
2026-08-13,Specific onto go.,Food & Drink,787.0,Expense
2026-08-13,Pattern size spend.,Shopping,1962.27,Expense
2026-08-15,Go exactly much food region.,Food & Drink,720.62,Expense
