Date,Transaction Description,Category,Amount,Type
2025-02-08,Around there water.,Food & Drink,465.81,Expense
2025-02-08,Staff within mouth call.,Other,3786.0,Income
2025-02-09,Close month parent who up.,Entertainment,1827.14,Expense
2025-02-10,Weekly food cost.,Food & Drink,67.4,Expense
2025-02-11,Human public health.,Health & Fitness,433.13,Expense
2025-02-12,Car service need.,Travel,185.75,Expense
2025-02-13,Building different full open.,Salary,294.31,Expense
2025-02-14,Special day cost.,Food & Drink,225.0,Expense
2025-02-15,Detail audience piece director town.,Other,4009.0,Income
2025-02-16,Method everything.,Shopping,730.37,Expense
2025-02-16,Much rich think.,Utilities,1023.96,Expense
2025-02-17,Shopping day time.,Shopping,156.9,Expense
2025-02-18,Drug list imagine behind.,Investment,1398.0,Income
2025-02-19,Interest level rock pull.,Investment,3958.0,Income
2025-02-20,I fund.,Shopping,769.42,Expense
2025-02-21,Monthly service pay.,Entertainment,24.99,Expense
2025-02-22,Utility bill pay.,Utilities,156.8,Expense
2025-02-23,Weekend enjoy time.,Entertainment,89.5,Expense
2025-02-24,Food stock need.,Food & Drink,178.3,Expense
2025-02-25,Phone service pay.,Utilities,85.25,Expense
2025-02-26,Court movie cell.,Travel,1942.45,Expense
2025-02-27,Leg themselves away.,Food & Drink,1363.76,Expense
2025-02-28,Anything yourself.,Other,3286.0,Income
2025-02-28,Unit support.,Other,1795.0,Income
2025-02-29,Magazine degree husband around.,Travel,1944.06,Expense
2025-03-01,New month start.,Rent,1350.0,Expense
2025-03-02,Weekend food cost.,Food & Drink,67.8,Expense
2025-03-03,World enter.,Rent,1742.33,Expense
2025-03-04,Institution whatever yet.,Entertainment,314.15,Expense
2025-03-04,Choice father why often.,Food & Drink,1201.9,Expense
2025-03-05,Health monthly pay.,Health & Fitness,75.0,Expense
2025-03-06,Transport cost daily.,Travel,45.6,Expense
2025-03-07,Office supply need.,Shopping,67.3,Expense
2025-03-08,Shopping weekend.,Shopping,125.8,Expense
2025-03-09,Security arm.,Rent,1858.91,Expense
2025-03-09,Me system church whether.,Travel,486.51,Expense
2025-03-10,Weekly grocery buy.,Food & Drink,234.5,Expense
2025-03-11,Attention attack technology.,Rent,180.45,Expense
2025-03-11,Walk now often.,Rent,1956.19,Expense
2025-03-12,Bank price north first end.,Utilities,265.5,Expense
2025-03-12,Enter capital population.,Utilities,537.46,Expense
2025-03-13,Medical check need.,Health & Fitness,125.0,Expense
2025-03-14,Upon very act perform.,Shopping,1929.08,Expense
2025-03-15,Available defense.,Entertainment,1428.77,Expense
2025-03-16,Day relax cost.,Entertainment,45.25,Expense
2025-03-17,Special day event.,Food & Drink,89.5,Expense
2025-03-18,Value thing these.,Health & Fitness,881.82,Expense
2025-03-19,Car insurance pay.,Travel,185.75,Expense
2025-03-20,Shopping season time.,Shopping,156.9,Expense
2025-03-21,Citizen street region.,Rent,503.33,Expense
2025-03-22,Weekend activity cost.,Entertainment,67.4,Expense
2025-03-23,Property never.,Investment,2385.0,Income
2025-03-23,Enough threat score.,Food & Drink,151.28,Expense
2025-03-24,Example decision garden.,Entertainment,144.13,Expense
2025-03-25,Monthly bill pay.,Utilities,156.8,Expense
2025-03-26,Grocery run time.,Food & Drink,178.3,Expense
2025-03-27,Pharmacy visit need.,Health & Fitness,45.75,Expense
2025-03-28,Major town suffer begin.,Other,1080.0,Income
2025-03-29,Weekend prepare shop.,Shopping,125.8,Expense
2025-03-30,Relax day cost.,Entertainment,45.25,Expense
2025-03-31,Month end expense.,Other,350.0,Expense
2025-04-01,Analysis four capital.,Travel,1341.27,Expense
2025-04-02,Monthly service fee.,Entertainment,24.99,Expense
2025-04-03,Gym payment time.,Health & Fitness,75.0,Expense
2025-04-04,Weekly food buy.,Food & Drink,234.5,Expense
2025-04-05,Scientist necessary into.,Utilities,1449.47,Expense
2025-04-06,Away third.,Salary,493.56,Expense
2025-04-06,Along hard need involve among.,Shopping,388.92,Expense
2025-04-07,Transport daily pay.,Travel,45.6,Expense
2025-04-08,Office supply need.,Shopping,67.3,Expense
2025-04-09,Medical check appointment.,Health & Fitness,185.0,Expense
2025-04-10,Together decide.,Other,3402.0,Income
2025-04-11,Weekly expense food.,Food & Drink,125.8,Expense
2025-04-12,Weekend shopping time.,Shopping,156.9,Expense
2025-04-13,Relax day enjoy.,Entertainment,89.5,Expense
2025-04-14,Special preparation cost.,Other,250.0,Expense
2025-04-15,Car maintenance need.,Travel,185.75,Expense
2025-04-16,Monthly bill payment.,Utilities,156.8,Expense
2025-04-17,Government nice.,Salary,1729.04,Expense
2025-04-17,See understand door class son.,Investment,996.0,Income
2025-04-18,Agent say forward us.,Health & Fitness,1603.18,Expense
2025-04-19,Weekend activity time.,Entertainment,67.4,Expense
2025-04-20,Grocery run need.,Food & Drink,178.3,Expense
2025-04-21,Phone bill pay.,Utilities,85.25,Expense
2025-04-22,City red him.,Investment,2058.0,Income
2025-04-23,Develop staff least figure.,Utilities,849.54,Expense
2025-04-24,Monthly subscription pay.,Entertainment,15.99,Expense
2025-04-25,Age cover foreign.,Entertainment,1750.23,Expense
2025-04-26,Go meeting quickly.,Investment,914.0,Income
2025-04-26,Voice boy wife condition.,Food & Drink,1938.3,Expense
2025-04-27,Board its.,Entertainment,340.96,Expense
2025-04-27,Paper memory history office.,Entertainment,1730.65,Expense
2025-04-28,Weekly planning food.,Food & Drink,67.4,Expense
2025-04-29,Remember ability.,Utilities,764.16,Expense
2025-04-30,Hair attorney professional.,Travel,1853.77,Expense
2025-05-01,Finish summer rest feel finally.,Travel,851.78,Expense
2025-05-02,Monthly rent pay.,Rent,1250.0,Expense
2025-05-03,I fast camera inside.,Salary,318.05,Expense
2025-05-03,Past feeling nature.,Food & Drink,1162.57,Expense
2025-05-04,Weekend grocery buy.,Food & Drink,125.8,Expense
2025-05-05,Expert involve oil.,Health & Fitness,123.76,Expense
2025-05-06,Kid put memory soldier.,Utilities,123.19,Expense
2025-05-06,Exist professional.,Utilities,146.36,Expense
2025-05-07,Stand seem.,Investment,3807.0,Income
2025-05-08,Monthly service pay.,Entertainment,24.99,Expense
2025-05-09,Gym membership pay.,Health & Fitness,75.0,Expense
2025-05-10,Transport cost daily.,Travel,45.6,Expense
2025-05-11,Southern challenge animal.,Investment,825.0,Income
2025-05-12,Sure authority increase picture create.,Shopping,1318.17,Expense
2025-05-13,Hundred challenge reach throughout.,Health & Fitness,1870.07,Expense
2025-05-14,Despite sound receive let.,Health & Fitness,484.99,Expense
2025-05-15,True building card.,Travel,919.88,Expense
2025-05-16,Write other wear through partner.,Rent,28.54,Expense
2025-05-17,Store natural today season.,Rent,155.79,Expense
2025-05-18,Weekend relax cost.,Entertainment,89.5,Expense
2025-05-19,Else easy point she.,Travel,273.59,Expense
2025-05-20,Phone ever back experience.,Rent,1759.75,Expense
2025-05-21,Floor music catch discuss.,Utilities,881.99,Expense
2025-05-22,Monthly bill payment.,Utilities,156.8,Expense
2025-05-23,Grocery run time.,Food & Drink,178.3,Expense
2025-05-24,Special day prep.,Shopping,125.8,Expense
2025-05-25,Ask imagine my.,Travel,1227.24,Expense
2025-05-26,Special day activity.,Entertainment,67.4,Expense
2025-05-27,Deal information.,Food & Drink,1339.05,Expense
2025-05-28,Task she.,Rent,1878.47,Expense
2025-05-29,Accept goal send table.,Investment,1376.0,Income
2025-05-30,Section national owner determine detail.,Utilities,551.97,Expense
2025-05-31,Ahead from quickly identify.,Health & Fitness,415.16,Expense
2025-05-31,Try wonder move trade.,Travel,1015.76,Expense
2025-06-01,Base investment.,Food & Drink,193.67,Expense
2025-06-02,Anyone here deep.,Travel,97.73,Expense
2025-06-03,Monthly service pay.,Entertainment,24.99,Expense
2025-06-04,Gym membership pay.,Health & Fitness,75.0,Expense
2025-06-05,Seven here sell story.,Utilities,1277.86,Expense
2025-06-06,Like see.,Salary,1107.84,Expense
2025-06-07,Difference attention whatever american.,Food & Drink,232.63,Expense
2025-06-08,Current after charge.,Utilities,1095.72,Expense
2025-06-09,Prove nor design record.,Utilities,865.28,Expense
2025-06-09,Paper white responsibility.,Other,826.0,Income
2025-06-10,Blue agent find.,Entertainment,1367.31,Expense
2025-06-10,Walk cup option store.,Health & Fitness,1562.43,Expense
2025-06-11,Recent feeling.,Shopping,1947.94,Expense
2025-06-11,Site girl into have media.,Entertainment,1730.57,Expense
2025-06-12,Support state.,Utilities,1764.02,Expense
2025-06-13,Weekly grocery buy.,Food & Drink,234.5,Expense
2025-06-14,Whether player stock religious.,Other,3872.0,Income
2025-06-15,Safe whole establish.,Entertainment,540.94,Expense
2025-06-16,Transport daily cost.,Travel,45.6,Expense
2025-06-17,Office supply need.,Shopping,67.3,Expense
2025-06-18,Let stay or focus.,Rent,771.26,Expense
2025-06-18,Everything late.,Other,2322.0,Income
2025-06-18,Particular her agreement surface consider.,Other,3364.0,Income
2025-06-19,Something future they red.,Entertainment,453.62,Expense
2025-06-19,Act way beat result major.,Shopping,663.24,Expense
2025-06-20,Monthly bill pay.,Utilities,156.8,Expense
2025-06-21,Position make society behavior.,Travel,708.78,Expense
2025-06-21,Reality fill ok list.,Health & Fitness,1879.08,Expense
2025-06-22,International second former reflect.,Other,1962.0,Income
2025-06-22,Edge building court.,Travel,86.13,Expense
2025-06-23,Season shopping time.,Shopping,125.8,Expense
2025-06-24,Week real course school everybody.,Health & Fitness,1459.8,Expense
2025-06-25,Grocery run need.,Food & Drink,178.3,Expense
2025-06-26,Medical appointment need.,Health & Fitness,125.0,Expense
2025-06-27,Car maintenance pay.,Travel,185.75,Expense
2025-06-28,Weekend activity cost.,Entertainment,89.5,Expense
2025-06-29,Relax day enjoy.,Entertainment,45.25,Expense
2025-06-30,Executive beyond create dinner conference.,Rent,776.54,Expense
2025-06-30,Call animal approach factor want.,Travel,98.33,Expense
2025-07-01,New month rent.,Rent,1350.0,Expense
2025-07-02,Their off.,Entertainment,734.8,Expense
2025-07-03,Key continue anything wait.,Other,3071.0,Income
2025-07-04,State husband.,Rent,1442.31,Expense
2025-07-05,Picture approach chance none fight.,Travel,1337.12,Expense
2025-07-06,Newspaper indicate other.,Travel,1113.28,Expense
2025-07-06,Herself training father open investment.,Other,1925.0,Income
2025-07-07,Monthly service pay.,Entertainment,24.99,Expense
2025-07-08,Art whether between several personal.,Travel,818.09,Expense
2025-07-09,Gym membership pay.,Health & Fitness,75.0,Expense
2025-07-10,Transport daily cost.,Travel,45.6,Expense
2025-07-11,Church community.,Travel,580.96,Expense
2025-07-12,Able late order.,Health & Fitness,935.33,Expense
2025-07-12,Discuss religious.,Entertainment,1027.24,Expense
2025-07-13,Reach under.,Utilities,1321.11,Expense
2025-07-14,Weekly grocery buy.,Food & Drink,234.5,Expense
2025-07-15,Office supply need.,Shopping,67.3,Expense
2025-07-16,Monthly bill pay.,Utilities,156.8,Expense
2025-07-17,Boy different chance enter.,Health & Fitness,195.84,Expense
2025-07-18,Season activity cost.,Entertainment,67.4,Expense
2025-07-19,Weekend shopping time.,Shopping,125.8,Expense
2025-07-20,Arrive society.,Entertainment,1348.86,Expense
2025-07-21,Keep light fight.,Entertainment,303.23,Expense
2025-07-21,Matter management ball.,Other,1096.0,Income
2025-07-22,Same page ago director.,Entertainment,1439.51,Expense
2025-07-22,Week yourself public especially american.,Shopping,495.53,Expense
2025-07-22,Million kind everything young.,Food & Drink,1786.39,Expense
2025-07-23,Why like impact fly.,Rent,1559.06,Expense
2025-07-24,Form really explain.,Salary,109.93,Expense
2025-07-25,Grocery run need.,Food & Drink,178.3,Expense
2025-07-26,Weekend relax cost.,Entertainment,89.5,Expense
2025-07-27,Season outing time.,Travel,125.8,Expense
2025-07-28,Already because education break significant.,Rent,918.36,Expense
2025-07-28,Price my.,Health & Fitness,1900.58,Expense
2025-07-29,Could gun.,Shopping,1662.83,Expense
2025-07-30,Kind appear environment capital explain.,Utilities,1489.87,Expense
2025-07-31,Ahead picture son.,Travel,1506.04,Expense
2025-08-01,Nearly need behavior.,Travel,1533.97,Expense
2025-08-01,Water positive child usually.,Entertainment,556.45,Expense
2025-08-01,Relate indeed lot line lead.,Other,2420.0,Income
2025-08-02,Course out second carry.,Health & Fitness,1787.12,Expense
2025-08-03,Significant take future.,Investment,2394.0,Income
2025-08-04,Star executive fear.,Utilities,1415.77,Expense
2025-08-04,Your majority chance mrs generation.,Other,3210.0,Income
2025-08-04,Help usually thank wonder draw.,Shopping,133.91,Expense
2025-08-05,Task improve fish.,Shopping,1810.63,Expense
2025-08-05,History professional star wonder.,Food & Drink,1714.9,Expense
2025-08-06,Call whole.,Shopping,959.19,Expense
2025-08-07,Monthly service pay.,Entertainment,24.99,Expense
2025-08-08,Them key.,Travel,1509.42,Expense
2025-08-08,Address century that wide.,Shopping,1081.06,Expense
2025-08-09,Sit enter perhaps however.,Entertainment,981.58,Expense
2025-08-10,Weekly grocery buy.,Food & Drink,234.5,Expense
2025-08-11,Transport daily cost.,Travel,45.6,Expense
2025-08-12,Gym membership pay.,Health & Fitness,75.0,Expense
2025-08-13,System teacher here first.,Salary,67.76,Expense
2025-08-14,Along attention piece tv young.,Shopping,1451.12,Expense
2025-08-15,Monthly bill pay.,Utilities,156.8,Expense
2025-08-16,Within set region beyond.,Utilities,1961.64,Expense
2025-08-17,Tough animal someone.,Shopping,1187.87,Expense
2025-08-18,Hear certainly most not.,Rent,1289.07,Expense
2025-08-19,Company participant him.,Other,1988.0,Income
2025-08-20,Tree central leave effect.,Other,3181.0,Income
2025-08-21,Together let.,Health & Fitness,681.63,Expense
2025-08-21,Citizen kid generation onto police.,Travel,1506.5,Expense
2025-08-22,Lead few yourself.,Travel,1671.47,Expense
2025-08-22,Down occur.,Food & Drink,1999.82,Expense
2025-08-23,Weekend activity cost.,Entertainment,89.5,Expense
2025-08-24,Season relax time.,Entertainment,45.25,Expense
2025-08-25,Grocery run need.,Food & Drink,178.3,Expense
2025-08-26,Yeah far within.,Rent,1564.65,Expense
2025-08-27,Account ten sing.,Food & Drink,1899.73,Expense
2025-08-27,Seat strategy total simply discover.,Investment,1748.0,Income
2025-08-28,Office supply need.,Shopping,67.3,Expense
2025-08-29,Pm per question.,Salary,1342.22,Expense
2025-08-30,Best physical always small almost.,Entertainment,935.42,Expense
2025-08-31,Bed far section.,Health & Fitness,343.9,Expense
2025-09-01,Car much will.,Rent,1557.81,Expense
2025-09-02,Monthly service pay.,Entertainment,24.99,Expense
2025-09-03,Gym membership pay.,Health & Fitness,75.0,Expense
2025-09-04,Transport daily cost.,Travel,45.6,Expense
2025-09-05,Tree store either station.,Other,1385.0,Income
2025-09-05,Second full boy.,Travel,1155.84,Expense
2025-09-06,Senior difficult put.,Shopping,799.34,Expense
2025-09-07,Hand so add mr lawyer.,Rent,1188.27,Expense
2025-09-08,Herself police he push likely.,Entertainment,212.78,Expense
2025-09-09,Weekly grocery buy.,Food & Drink,234.5,Expense
2025-09-10,Monthly bill pay.,Utilities,156.8,Expense
2025-09-11,Trip determine as statement.,Rent,1594.49,Expense
2025-09-11,Bring animal also you.,Food & Drink,700.94,Expense
2025-09-11,Doctor mr.,Health & Fitness,147.22,Expense
2025-09-12,Office supply need.,Shopping,67.3,Expense
2025-09-13,Weekend shopping time.,Shopping,125.8,Expense
2025-09-14,Relax day enjoy.,Entertainment,89.5,Expense
2025-09-15,Car maintenance pay.,Travel,185.75,Expense
2025-09-16,He we recent music.,Food & Drink,1700.66,Expense
2025-09-17,Those pressure street.,Rent,872.71,Expense
2025-09-17,Allow have kitchen.,Salary,1417.54,Expense
2025-09-18,Between rate name within.,Travel,1235.67,Expense
2025-09-18,Huge couple.,Salary,935.1,Expense
2025-09-19,Medical appointment need.,Health & Fitness,125.0,Expense
2025-09-20,Weekend activity cost.,Entertainment,67.4,Expense
2025-09-21,Grocery run need.,Food & Drink,178.3,Expense
2025-09-22,Begin deep police wife.,Travel,651.39,Expense
2025-09-22,During call north attention.,Rent,565.07,Expense
2025-09-22,Only spend do.,Salary,1144.0,Expense
2025-09-23,Able teach certain candidate economy.,Health & Fitness,67.11,Expense
2025-09-23,Produce ago.,Utilities,980.22,Expense
2025-09-24,Monthly service pay.,Entertainment,24.99,Expense
2025-09-25,So draw food company.,Travel,687.27,Expense
2025-09-26,Transport daily cost.,Travel,45.6,Expense
2025-09-27,Score moment second.,Travel,1116.02,Expense
2025-09-27,Sing message board mean.,Entertainment,180.37,Expense
2025-09-27,Feeling poor all your suggest.,Salary,1114.8,Expense
2025-09-28,Weekend relax cost.,Entertainment,89.5,Expense
2025-09-29,Make travel.,Salary,1295.35,Expense
2025-09-30,Focus chance.,Food & Drink,195.18,Expense
2025-10-01,Person one republican.,Entertainment,619.35,Expense
2025-10-02,Monthly rent pay.,Rent,1250.0,Expense
2025-10-03,Most law painting between reduce.,Salary,1111.41,Expense
2025-10-04,Involve thousand including.,Health & Fitness,710.1,Expense
2025-10-05,Weekend grocery buy.,Food & Drink,125.8,Expense
2025-10-06,Transport daily cost.,Travel,45.6,Expense
2025-10-07,Indeed believe interview professor.,Travel,510.29,Expense
2025-10-07,Rather listen before.,Investment,3084.0,Income
2025-10-07,It season.,Investment,2069.0,Income
2025-10-08,News only no.,Salary,560.23,Expense
2025-10-08,Improve them wait.,Travel,1961.22,Expense
2025-10-09,Gym membership pay.,Health & Fitness,75.0,Expense
2025-10-10,Why outside.,Travel,462.69,Expense
2025-10-10,Official defense.,Investment,4875.0,Income
2025-10-10,Suggest glass news.,Investment,946.0,Income
2025-10-11,Monthly service pay.,Entertainment,24.99,Expense
2025-10-12,Off southern suddenly.,Utilities,1279.36,Expense
2025-10-13,Weekly planning food.,Food & Drink,67.4,Expense
2025-10-14,Participant price.,Rent,1746.71,Expense
2025-10-15,Congress reflect.,Salary,962.64,Expense
2025-10-16,Go consider century price.,Food & Drink,512.43,Expense
2025-10-16,Scientist will begin.,Rent,1646.01,Expense
2025-10-16,Heavy law church.,Rent,1158.27,Expense
2025-10-17,Office supply need.,Shopping,67.3,Expense
2025-10-18,Since nothing be apply.,Utilities,306.9,Expense
2025-10-19,Anyone bank kitchen interest parent.,Travel,179.51,Expense
2025-10-20,Monthly bill pay.,Utilities,156.8,Expense
2025-10-21,Grocery run need.,Food & Drink,178.3,Expense
2025-10-22,Car maintenance pay.,Travel,185.75,Expense
2025-10-23,Democratic mention generation.,Shopping,1216.57,Expense
2025-10-24,Question or money.,Entertainment,1553.63,Expense
2025-10-25,Weekend activity cost.,Entertainment,89.5,Expense
2025-10-26,Determine worker.,Salary,601.73,Expense
2025-10-27,Daughter war.,Shopping,617.71,Expense
2025-10-27,Face build market.,Rent,1895.7,Expense
2025-10-27,Can mouth discover.,Entertainment,536.65,Expense
2025-10-28,Author technology amount affect.,Investment,1923.0,Income
2025-10-29,Office of remember individual.,Utilities,15.32,Expense
2025-10-30,Again foot soon peace.,Salary,589.61,Expense
2025-10-31,Join black.,Travel,1408.95,Expense
2025-11-01,Hundred bad that second develop.,Entertainment,1848.58,Expense
2025-11-01,Member box.,Entertainment,856.03,Expense
2025-11-02,Town glass road.,Utilities,1817.74,Expense
2025-11-03,Monthly service pay.,Entertainment,24.99,Expense
2025-11-04,Bill eight community.,Rent,128.68,Expense
2025-11-05,Gym membership pay.,Health & Fitness,75.0,Expense
2025-11-06,Concern significant.,Travel,883.92,Expense
2025-11-07,Senior service large under.,Travel,1402.47,Expense
2025-11-08,Transport daily cost.,Travel,45.6,Expense
2025-11-09,Follow wife firm key light.,Salary,881.14,Expense
2025-11-10,Option goal avoid.,Shopping,1471.72,Expense
2025-11-10,Also hard expert popular.,Food & Drink,191.74,Expense
2025-11-11,Special day observance.,Other,0.0,Expense
2025-11-12,Order his oil west school.,Food & Drink,1999.15,Expense
2025-11-12,Training occur could painting.,Travel,1156.73,Expense
2025-11-13,Regular utility payment.,Utilities,156.8,Expense
2025-11-14,Whatever late specific.,Utilities,946.3,Expense
2025-11-14,Mean common.,Travel,371.16,Expense
2025-11-14,Yard model particular hair.,Salary,1938.42,Expense
2025-11-14,Impact full our smile.,Shopping,673.28,Expense
2025-11-15,Form newspaper.,Utilities,666.31,Expense
2025-11-15,Edge surface who.,Travel,1328.54,Expense
2025-11-16,Bank professional true financial.,Food & Drink,915.1,Expense
2025-11-16,Organization visit finally.,Health & Fitness,240.68,Expense
2025-11-17,Spend prove stock school.,Food & Drink,1318.74,Expense
2025-11-18,Regular monthly fee.,Entertainment,24.99,Expense
2025-11-19,Car service need.,Travel,185.75,Expense
2025-11-20,Position interest.,Shopping,117.87,Expense
2025-11-21,Weekly food buy.,Food & Drink,178.3,Expense
2025-11-22,Guy congress.,Salary,1254.56,Expense
2025-11-23,Way main difficult case.,Entertainment,541.44,Expense
2025-11-24,Transport cost daily.,Travel,45.6,Expense
2025-11-25,Such big side.,Other,4089.0,Income
2025-11-25,Product then.,Salary,251.64,Expense
2025-11-26,Heavy class story side speak.,Entertainment,1422.47,Expense
2025-11-27,Analysis hair rest wide.,Food & Drink,1108.98,Expense
2025-11-27,Doctor dream whole six.,Investment,4280.0,Income
2025-11-28,Special day expense.,Food & Drink,225.0,Expense
2025-11-29,Question now key show.,Utilities,1001.77,Expense
2025-11-30,Month end cost.,Other,350.0,Expense
2025-12-01,Month whom stage soon.,Travel,836.83,Expense
2025-12-02,Monthly service pay.,Entertainment,24.99,Expense
2025-12-03,Gym membership pay.,Health & Fitness,75.0,Expense
2025-12-04,Weekly grocery buy.,Food & Drink,125.8,Expense
2025-12-05,Appear lose he.,Salary,495.02,Expense
2025-12-05,Surface expect several evening town.,Shopping,389.31,Expense
2025-12-06,Begin treat stage this.,Utilities,1729.41,Expense
2025-12-07,Weekend relax cost.,Entertainment,89.5,Expense
2025-12-08,Transport daily pay.,Travel,45.6,Expense
2025-12-09,Office supply need.,Shopping,67.3,Expense
2025-12-10,Apply maybe dog yes.,Shopping,686.35,Expense
2025-12-10,Agreement us stuff.,Travel,1642.89,Expense
2025-12-11,Case expert stop.,Travel,1676.58,Expense
2025-12-12,Large accept bad eight.,Salary,1731.87,Expense
2025-12-13,Vote participant institution simply down.,Salary,696.8,Expense
2025-12-14,Draw police.,Shopping,916.14,Expense
2025-12-14,Book toward.,Entertainment,1961.74,Expense
2025-12-15,Regular utility pay.,Utilities,156.8,Expense
2025-12-16,Place offer.,Shopping,474.79,Expense
2025-12-16,Investment pass drive.,Food & Drink,643.17,Expense
2025-12-16,Professor beat window.,Shopping,778.3,Expense
2025-12-17,Car maintenance check.,Travel,185.75,Expense
2025-12-18,Name skill medical after them.,Utilities,995.7,Expense
2025-12-18,Wonder effect administration small.,Other,1322.0,Income
2025-12-19,Weekly grocery run.,Food & Drink,178.3,Expense
2025-12-20,Run pick sign.,Salary,208.43,Expense
2025-12-20,And national spend.,Food & Drink,1447.66,Expense
2025-12-21,Weekend shopping trip.,Shopping,125.8,Expense
2025-12-22,Wonder long consider care.,Utilities,158.91,Expense
2025-12-23,Fall analysis.,Travel,683.74,Expense
2025-12-23,Firm financial.,Rent,1705.01,Expense
2025-12-24,List already positive experience television.,Shopping,1908.74,Expense
2025-12-25,Event son join hundred.,Salary,1746.04,Expense
2025-12-26,Fund cost reality happen.,Investment,2423.0,Income
2025-12-27,Post event shopping.,Shopping,156.9,Expense
2025-12-28,Song risk bad.,Travel,1994.88,Expense
2025-12-29,Monthly service pay.,Entertainment,24.99,Expense
2025-12-30,Family bill foreign fast knowledge.,Shopping,1956.89,Expense
2025-12-31,Ready goal amount.,Rent,892.92,Expense
2026-01-01,Year begin celebration.,Food & Drink,125.8,Expense
2026-01-02,Monthly rent pay.,Rent,1350.0,Expense
2026-01-03,Weekly grocery buy.,Food & Drink,245.75,Expense
2026-01-04,Weekend enjoy time.,Entertainment,95.5,Expense
2026-01-05,Investment return come.,Investment,2150.0,Income
2026-01-06,Commute expense daily.,Travel,35.4,Expense
2026-01-07,Office supply need.,Shopping,72.3,Expense
2026-01-08,Gym membership pay.,Health & Fitness,78.0,Expense
2026-01-09,Phone bill payment.,Utilities,88.25,Expense
2026-01-10,Dinner out time.,Food & Drink,130.8,Expense
2026-01-11,Household item buy.,Shopping,161.9,Expense
2026-01-12,Grocery restock need.,Food & Drink,240.5,Expense
2026-01-13,Monthly service fee.,Entertainment,16.99,Expense
2026-01-14,Public transport cost.,Travel,47.6,Expense
2026-01-15,Medical appointment need.,Health & Fitness,190.0,Expense
2026-01-16,Restaurant meal enjoy.,Food & Drink,1550.03,Expense
2026-01-17,Freelance work income.,Other,3350.0,Income
2026-01-18,Weekend activity cost.,Entertainment,78.25,Expense
2026-01-19,Movie night out.,Entertainment,1950.85,Expense
2026-01-20,Electricity bill pay.,Utilities,161.8,Expense
2026-01-21,Gas refill need.,Travel,68.3,Expense
2026-01-22,Pharmacy visit time.,Health & Fitness,48.75,Expense
2026-01-23,Rent payment due.,Rent,780.06,Expense
2026-01-24,Fitness equipment buy.,Health & Fitness,1240.41,Expense
2026-01-25,Salary deduction pay.,Salary,1100.09,Expense
2026-01-26,Weekly grocery run.,Food & Drink,239.5,Expense
2026-01-27,Internet bill pay.,Utilities,82.99,Expense
2026-01-28,Clothing purchase need.,Shopping,171.81,Expense
2026-01-29,Health supplement buy.,Health & Fitness,1180.93,Expense
